University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Niigata University,Nobeoka,Japan,Chief Design Engineer,Horizontal didactic productivity,2018-08-05,2018-08-15,2281.74,JPY
University of Cagayan Valley,Blinsung,Philippines,Structural Engineer,Operative mission-critical capability,2017-01-11,2017-04-17,8726.28,PHP
Halmstad University College,Vetlanda,Sweden,Structural Analysis Engineer,Extended fresh-thinking emulation,2019-10-04,2020-02-05,2501.59,SEK
Zhengzhou University of Technology,Tianmuhu,China,Financial Advisor,Total 24/7 architecture,2016-03-30,2016-10-11,6570.21,CNY
Universidad Nacional Siglo XX Llallagua,Oruro,Bolivia,Compensation Analyst,Synergistic exuding project,2018-03-31,2018-04-26,1743.68,BOB
Stephens College,New Bedford,United States,Graphic Designer,Expanded grid-enabled parallelism,2017-01-22,2017-06-26,2942.31,USD
Amur State University,Kostomuksha,Russia,Project Manager,Mandatory transitional productivity,2018-02-02,2018-03-29,6112.98,RUB
New Era University,Guadalupe,Philippines,Community Outreach Specialist,Centralized encompassing product,2017-02-14,2017-08-10,7681.66,PHP
National Agricultural University,Krasnopillya,Ukraine,Professor,Configurable even-keeled orchestration,2019-07-08,2020-01-14,4217.83,UAH
St.Kliment Ohridski University,Kumanovo,Macedonia,Cost Accountant,Integrated modular support,2017-06-06,2017-07-05,1502.27,MKD
Shantou University,Wenquan,China,Programmer Analyst I,Proactive coherent budgetary management,2016-09-10,2017-03-20,9007.1,CNY
Tashkent State University of Oriental Studies ,Shofirkon,Uzbekistan,Mechanical Systems Engineer,Automated tertiary collaboration,2019-06-10,2019-11-30,345.05,UZS
"Veliko Turnovo University ""Cyril and Methodius""",Chavdar,Bulgaria,Executive Secretary,Front-line 4th generation process improvement,2016-10-03,2017-03-13,9294.43,BGN
University of Science and Technology of China,Deqing,China,Senior Financial Analyst,Re-engineered 24/7 circuit,2016-07-15,2017-01-28,149.49,CNY
Badakhshan University,Bāgh-e Maīdān,Afghanistan,Budget/Accounting Analyst IV,User-friendly user-facing challenge,2019-05-12,2019-08-09,6565.91,AFN
Agder University College,Moss,Norway,Senior Financial Analyst,Phased web-enabled knowledge user,2018-04-23,2018-10-21,9784.89,NOK
Walailak University,Songkhla,Thailand,Environmental Specialist,Reduced zero defect analyzer,2018-08-03,2018-08-28,3439.12,THB
Mid-Sweden University,Umeå,Sweden,Tax Accountant,Persistent demand-driven methodology,2018-01-26,2018-03-31,9259.23,SEK
Universidad Nacional de San Agustin,Shamboyacu,Peru,Engineer III,Enhanced scalable firmware,2018-05-13,2018-07-11,5594.79,PEN
Postgraduate Institute of Pali & Buddhist Studies (University of Kelaniya),Peliyagoda,Sri Lanka,Tax Accountant,Customizable eco-centric installation,2017-09-19,2017-10-12,4929.46,LKR
Southwest Agricultural University,Jianshan,China,Account Coordinator,Proactive bi-directional hub,2019-09-25,2020-01-24,5477.28,CNY
Universitas Bunda Mulia Jakarta,Long Loreh,Indonesia,Project Manager,Visionary systemic hub,2016-07-30,2016-09-17,8349.25,IDR
Abylai Khan University,Kostanay,Kazakhstan,Quality Control Specialist,Versatile multimedia hub,2017-04-05,2017-09-18,5914.0,KZT
Beijing University of Agriculture,Xiaodukou,China,Accountant II,Public-key bi-directional superstructure,2019-08-26,2019-10-27,3334.85,CNY
"Universidad de Artes, Ciencias y Comunicación",San Carlos,Chile,Quality Engineer,Future-proofed optimal budgetary management,2018-10-08,2019-03-17,1030.97,CLP
Universitas Muhammadiyah Surakarta,Klumbu,Indonesia,VP Sales,Devolved clear-thinking complexity,2016-06-18,2016-07-31,6075.21,IDR
Guangxi Medical University,Zhuanqiang,China,Electrical Engineer,Programmable reciprocal projection,2016-09-14,2017-01-26,3240.07,CNY
Ural State Forestry Technical Academy,Zavetnoye,Russia,Senior Editor,Reverse-engineered client-driven alliance,2016-10-25,2017-02-18,3775.34,RUB
3rd Military Medical University,Shen’ao,China,Analyst Programmer,Advanced holistic emulation,2018-09-03,2019-03-30,2205.52,CNY
University of Western Macedonia,Ampelákia,Greece,Geologist II,Cross-group mobile productivity,2019-04-22,2019-05-15,5835.78,EUR
Shandong University of Technology,Guniushan,China,Speech Pathologist,Persevering heuristic utilisation,2019-07-18,2020-01-18,2195.09,CNY
University of Crete,Kalpáki,Greece,Programmer Analyst IV,Multi-tiered intangible data-warehouse,2016-11-12,2017-06-17,205.14,EUR
Technological University (Hinthada),Nay Pyi Taw,Myanmar,Senior Cost Accountant,Realigned multi-state website,2018-07-13,2018-09-04,1451.19,MMK
Universidade de Guarulhos,Anguera,Brazil,VP Accounting,Configurable object-oriented internet solution,2016-10-24,2017-01-21,7926.61,BRL
"National University of Ireland, Galway",Ratoath,Ireland,Technical Writer,Synchronised discrete utilisation,2019-02-24,2019-07-08,2858.86,EUR
St. Petersburg State Technical University,Srostki,Russia,Account Representative IV,Customizable human-resource challenge,2019-01-18,2019-05-16,4486.75,RUB
University of Cape Town,Cradock,South Africa,Statistician IV,Polarised heuristic encryption,2018-03-18,2018-07-20,2000.16,ZAR
Universidad de La Amazonia,Funza,Colombia,VP Marketing,Multi-channelled national functionalities,2017-04-10,2017-11-03,8350.91,COP
Universidad Católica de Manizales,Algeciras,Colombia,Structural Engineer,Synergistic systematic benchmark,2019-11-20,2020-06-20,1975.71,COP
Jönköping University College,Bromma,Sweden,Operator,Right-sized asymmetric circuit,2018-06-03,2018-06-17,7975.22,SEK
Kumamoto Gakuen University,Kaminokawa,Japan,Registered Nurse,Diverse bi-directional Graphical User Interface,2018-12-20,2019-06-08,3458.19,JPY
Wuhan Automobile Polytechnical University,Yinjiang,China,Geological Engineer,Diverse bandwidth-monitored model,2016-04-10,2016-04-18,6259.63,CNY
University of Electronic Science and Technology of China,Xiadingjia,China,Assistant Professor,Persistent zero administration model,2019-04-21,2019-09-11,7826.31,CNY
Kyrgyz Russian Slavic University,Bazar-Korgon,Kyrgyzstan,Environmental Tech,Monitored fault-tolerant ability,2018-05-14,2018-11-14,243.04,KGS
Hunan Agricultural University,Hong’an Chengguanzhen,China,Accounting Assistant I,Virtual intangible algorithm,2017-12-19,2018-02-13,6056.32,CNY
Universitas Narotama,Candi Prambanan,Indonesia,Marketing Manager,Triple-buffered even-keeled knowledge user,2017-02-23,2017-05-23,9277.29,IDR
Universidad Interamericana,San José de Ocoa,Dominican Republic,Payment Adjustment Coordinator,Persevering local internet solution,2016-11-25,2017-03-27,1633.5,DOP
Sheridan College,Blainville,Canada,Senior Developer,Team-oriented non-volatile implementation,2018-07-07,2018-11-23,6708.98,CAD
Bamiyan University,Zīrakī,Afghanistan,Dental Hygienist,Persistent upward-trending installation,2018-08-12,2018-11-17,3559.7,AFN
Universidade de Aveiro,Malhão,Portugal,Marketing Manager,Inverse content-based conglomeration,2016-05-07,2016-10-22,9674.82,EUR
Dalian University of Technology,Liangjing,China,Associate Professor,User-centric analyzing interface,2016-08-29,2016-09-28,7496.74,CNY
University of Cagayan Valley,Mercedes,Philippines,Account Representative I,Enhanced hybrid software,2019-09-25,2019-12-20,1793.49,PHP
Universidade Tecnica de Lisboa,Samouco,Portugal,Information Systems Manager,Persistent next generation success,2019-11-24,2020-06-15,4149.31,EUR
"University of Occupational and Environmental Health, Japan",Sakaiminato,Japan,Technical Writer,Expanded 24 hour knowledge base,2016-07-27,2016-12-06,2227.22,JPY
Athens Graduate School of Management (AGSM),Diavatá,Greece,Engineer IV,Future-proofed discrete complexity,2019-07-29,2019-12-23,280.06,EUR
Gansu Agricultural University,Zhanghuban,China,Health Coach II,Customizable even-keeled customer loyalty,2016-09-16,2017-01-06,8042.58,CNY
Shanghai TieDao University,Xinhui,China,Payment Adjustment Coordinator,Streamlined zero administration knowledge base,2018-05-21,2018-06-26,4376.76,CNY
Ningxia Medical College,Haolaishan,China,VP Product Management,Centralized heuristic array,2018-03-28,2018-04-18,4547.39,CNY
Shanghai University of Traditional Chinese Medicine and Pharmacology,Wuyanquan,China,Data Coordinator,Grass-roots holistic framework,2018-02-06,2018-09-07,6238.35,CNY
Hanoi University of Architecture,Thị Trấn Mỹ Lộc,Vietnam,Administrative Assistant IV,Profound regional matrix,2017-05-13,2017-10-27,7248.32,VND
Universidad de la Sierra A.C.,Hidalgo,Mexico,Administrative Officer,Ergonomic leading edge benchmark,2018-04-13,2018-09-21,8147.57,MXN
Ecole Supérieure de Commerce de Nantes-Atlantique,Limoges,France,Health Coach IV,Multi-lateral contextually-based task-force,2018-06-03,2018-06-17,376.9,EUR
University of Petroleum (East China),Yu’erhong,China,Physical Therapy Assistant,Up-sized methodical functionalities,2019-08-13,2019-12-29,4380.2,CNY
Universitas Kristen Maranatha,Gedangan,Indonesia,Environmental Tech,Versatile human-resource matrices,2018-03-07,2018-08-22,9779.77,IDR
Emporia State University,Anchorage,United States,Quality Control Specialist,Multi-lateral homogeneous migration,2016-09-15,2017-02-05,7810.84,USD
Vaal University of Technology,Mossel Bay,South Africa,Software Test Engineer II,Seamless system-worthy matrix,2019-04-04,2019-05-22,3440.79,ZAR
Universitas Bojonegoro,Desa Margaluyu,Indonesia,Accountant III,Vision-oriented responsive throughput,2019-07-06,2019-10-31,8235.37,IDR
Shanghai Jiaotong University,Dongfeng,China,Social Worker,Stand-alone cohesive instruction set,2019-05-22,2019-08-09,8676.44,CNY
University of Economics Varna,Suvorovo,Bulgaria,Structural Analysis Engineer,Grass-roots transitional throughput,2017-02-07,2017-04-07,7538.01,BGN
Universidad de Ciego de Avila,Baraguá,Cuba,Recruiter,Cross-group 5th generation system engine,2019-11-09,2020-04-12,3596.09,CUP
University of the Philippines Visayas,Magapit,Philippines,Professor,Ergonomic scalable moderator,2017-01-09,2017-01-13,913.81,PHP
Crimea State Medical University,Dovhe,Ukraine,Help Desk Operator,Intuitive reciprocal array,2017-11-02,2018-04-04,6547.08,UAH
Chinese People's Public Security University,Chenzhou,China,VP Sales,Grass-roots explicit standardization,2016-04-19,2016-09-09,2705.56,CNY
Siam Technology College,Phibun Mangsahan,Thailand,Paralegal,Sharable dedicated synergy,2018-05-09,2018-12-09,9429.62,THB
Capital Normal University,Zhongluotan,China,Legal Assistant,Public-key fresh-thinking artificial intelligence,2018-03-11,2018-06-15,6855.11,CNY
Hebei United University,Liutan,China,Design Engineer,Devolved disintermediate conglomeration,2018-06-05,2018-10-20,4075.33,CNY
Université de Bamako,Taoudenni,Mali,Financial Advisor,Networked analyzing challenge,2017-02-13,2017-08-31,2740.37,XOF
Université d'Abobo-Adjamé,Adzopé,Ivory Coast,Pharmacist,Persistent uniform concept,2019-07-05,2019-10-25,5571.75,XOF
Universitas Gunadarma,Sumberdangdang,Indonesia,Programmer Analyst III,Assimilated hybrid contingency,2016-07-17,2017-01-19,5390.64,IDR
Fujian Medical University,Chengguan,China,Structural Engineer,Vision-oriented context-sensitive monitoring,2016-03-30,2016-06-21,9982.68,CNY
Escola Superior de Artes e Design,Pardelhas,Portugal,Internal Auditor,Function-based homogeneous emulation,2018-09-26,2019-01-18,5709.98,EUR
Universidade do Rio de Janeiro,Taquarituba,Brazil,VP Marketing,Object-based interactive portal,2018-09-22,2019-02-06,2717.7,BRL
Maryam Institute of Higher Education,Khadīr,Afghanistan,Account Coordinator,Progressive optimizing flexibility,2019-05-02,2019-09-25,8103.48,AFN
Davao Doctors College,San Andres,Philippines,Junior Executive,Pre-emptive directional collaboration,2016-06-20,2017-01-09,7356.42,PHP
New Era University,Cabangahan,Philippines,Actuary,Fully-configurable upward-trending secured line,2017-02-18,2017-06-20,8781.64,PHP
Capital University of Economics and Business,Xinlin,China,Tax Accountant,Vision-oriented mobile product,2017-10-23,2017-12-15,4596.7,CNY
Beijing Forestry University,Wanfu,China,Recruiting Manager,Upgradable full-range project,2016-03-10,2016-03-25,3662.11,CNY
Southwest Petroleum University,Xiashan,China,Dental Hygienist,Secured user-facing parallelism,2019-02-16,2019-08-15,9462.59,CNY
Université Sidi Mohammed Ben Abdellah,Teroual,Morocco,Help Desk Operator,Balanced discrete toolset,2019-04-20,2019-10-07,9927.41,MAD
The College of St. Scholastica,Mesquite,United States,Junior Executive,Open-architected systemic product,2017-03-13,2017-07-30,280.72,USD
China Pharmaceutical University Nanjing,Jinping,China,Community Outreach Specialist,Multi-layered multi-state data-warehouse,2019-03-19,2019-06-18,6896.2,CNY
Kano State University of Technology Wudil,Bode Sadu,Nigeria,Graphic Designer,Business-focused uniform forecast,2016-02-29,2016-04-09,8524.48,NGN
Tbilisi State University,Borjomi,Georgia,Associate Professor,Diverse fault-tolerant hierarchy,2016-05-12,2016-10-10,9387.58,GEL
University of Aden,Ma‘bar,Yemen,Staff Scientist,Self-enabling secondary policy,2018-10-20,2019-03-05,4562.98,YER
Jiangsu University of Science and Technology,Shouxihu,China,Actuary,Configurable exuding access,2017-10-22,2018-05-27,4280.15,CNY
Physical Education Academy in Katowice,Szczecin,Poland,GIS Technical Architect,Re-contextualized object-oriented success,2018-07-19,2018-11-05,7619.83,PLN
Soongsil University,Haenam,South Korea,Statistician I,De-engineered modular open architecture,2016-11-08,2017-02-19,2614.45,KRW
Western Kazakhstan Agricultural University,Esik,Kazakhstan,Clinical Specialist,Virtual real-time contingency,2018-02-06,2018-02-23,1531.12,KZT
China Academy of Art,Buyun,China,Structural Engineer,Down-sized contextually-based strategy,2016-09-02,2016-11-21,9541.86,CNY
"Newcastle University, Medicine Malaysia ",Alor Star,Malaysia,Accountant I,Multi-lateral solution-oriented benchmark,2019-05-08,2019-09-20,1430.77,MYR
Far East State Transport University,Grazhdanskoye,Russia,Computer Systems Analyst II,Advanced bandwidth-monitored middleware,2018-01-29,2018-04-27,4395.25,RUB
Central University for Nationalities,Antang,China,Design Engineer,Universal explicit approach,2017-09-19,2017-10-04,6956.73,CNY
Instituto Politécnico da Guarda,Azueira,Portugal,Safety Technician II,De-engineered radical matrix,2019-03-13,2019-05-30,8572.4,EUR
STMIK Sinar Nusantara,Selajambe Satu,Indonesia,Structural Engineer,Exclusive full-range conglomeration,2016-12-23,2017-04-18,567.86,IDR
Universidad Nacional de Guinea Ecuatorial,Machinda,Equatorial Guinea,Sales Associate,Object-based composite data-warehouse,2019-01-05,2019-07-08,4273.0,XAF
Guangxi Normal University,Taipingying,China,Web Designer IV,Diverse bi-directional challenge,2018-01-29,2018-08-30,8733.37,CNY
University of South Carolina - Spartanburg,Washington,United States,Junior Executive,Switchable fresh-thinking core,2017-03-29,2017-09-20,2889.85,USD
Mount Allison University,Catalina,Canada,Financial Analyst,Reverse-engineered exuding capability,2018-09-04,2018-09-14,6428.73,CAD
Karlstad University,Stockholm,Sweden,Quality Engineer,Synergized optimal architecture,2019-11-23,2020-01-31,2863.89,SEK
Universitas Bhayangkara Surabaya,Krajan Gajahmati,Indonesia,Social Worker,Open-source intangible utilisation,2016-10-05,2017-03-25,7881.61,IDR
Technological Education Institute of Epiros,Tríkala,Greece,Environmental Specialist,Object-based bifurcated initiative,2016-04-08,2016-05-05,6738.39,EUR
Northeastern State University,Colorado Springs,United States,Physical Therapy Assistant,Customer-focused real-time function,2018-07-31,2019-02-19,5757.6,USD
"Universidad Autónoma Agraria ""Antonio Narro""",Vicente Guerrero,Mexico,Structural Analysis Engineer,Streamlined multi-tasking groupware,2019-01-21,2019-03-22,8003.53,MXN
Omsk State University,Kvitok,Russia,Legal Assistant,Enhanced bifurcated software,2019-03-14,2019-10-02,3566.73,RUB
Shanghai Normal University,Xiangshui,China,Sales Associate,Cross-platform zero administration alliance,2019-07-15,2019-09-01,1233.35,CNY
Yemenia University,Maqbanah,Yemen,Desktop Support Technician,Multi-layered asynchronous strategy,2018-07-31,2018-10-19,6693.32,YER
Universitas Indonusa Esa Unggul,Blendis,Indonesia,Web Developer III,Networked heuristic open architecture,2018-09-04,2019-01-30,2883.73,IDR
Universidad Maritima de Chile,Rengo,Chile,Account Executive,Exclusive radical synergy,2017-08-17,2017-12-06,5884.57,CLP
University of Electronic Science and Technology of China,Sanshan,China,Automation Specialist IV,Managed scalable analyzer,2017-08-23,2017-11-10,9278.97,CNY
American University of Tirana,Librazhd-Qendër,Albania,Computer Systems Analyst III,Digitized 24/7 toolset,2017-03-07,2017-09-22,973.5,ALL
"International Banking Institute, St. Petersburg",Mayskiy,Russia,Legal Assistant,User-centric foreground synergy,2017-03-22,2017-06-16,5762.5,RUB
Harbin Engineering University,Chengjiao,China,Technical Writer,Streamlined tangible Graphical User Interface,2017-10-04,2018-02-23,1443.54,CNY
"Bauchi State University, Gadau",Maiyema,Nigeria,Environmental Specialist,Reactive contextually-based task-force,2016-11-09,2016-11-24,4897.44,NGN
Academia Nacional Superior de Orquesta,Columbeira,Portugal,Automation Specialist II,Switchable homogeneous time-frame,2019-04-10,2019-06-04,665.27,EUR
Saint Paul University,Garcia Hernandez,Philippines,Analyst Programmer,Automated tertiary hub,2019-06-26,2019-09-07,1130.33,PHP
University of Pula,Bistrinci,Croatia,Food Chemist,Synchronised demand-driven moderator,2018-01-28,2018-04-19,724.87,HRK
Godfrey Okoye University,Samamiya,Nigeria,Financial Analyst,Multi-channelled multi-tasking website,2019-10-29,2020-02-25,3620.76,NGN
Technical University of Mining and Metallurgy Ostrava,Humpolec,Czech Republic,Project Manager,Proactive fresh-thinking adapter,2019-07-13,2019-09-23,9048.37,CZK
Jönköping University College,Stockholm,Sweden,Media Manager IV,Assimilated optimal monitoring,2018-06-13,2018-12-03,175.2,SEK
Pacific Union College,Rochester,United States,Desktop Support Technician,Progressive zero defect orchestration,2019-09-24,2020-03-20,5710.67,USD
Epoka University,Orosh,Albania,Software Test Engineer I,Innovative asymmetric orchestration,2017-06-28,2017-08-29,4694.09,ALL
Politeknik Negeri Semarang,Obesi,Indonesia,Mechanical Systems Engineer,Fully-configurable discrete productivity,2017-08-30,2018-01-05,249.68,IDR
National College of Art and Design,Haugesund,Norway,Software Engineer II,Up-sized web-enabled orchestration,2016-12-21,2017-06-27,5005.24,NOK
Fujian Agricultural University,Futian,China,Electrical Engineer,Multi-lateral reciprocal approach,2019-03-11,2019-08-29,4268.98,CNY
Karlstad University,Stockholm,Sweden,Electrical Engineer,Team-oriented global contingency,2016-07-26,2016-11-01,6036.34,SEK
Moscow State University,Pyatigorsk,Russia,Recruiting Manager,Profound neutral focus group,2017-10-27,2017-10-29,5016.7,RUB
"Technological Education Institute of Halkida, Euboea",Néos Oropós,Greece,VP Sales,Networked explicit frame,2018-09-08,2019-01-27,199.63,EUR
Technological University (Pyay),Bhamo,Myanmar,Structural Engineer,Upgradable solution-oriented protocol,2019-02-23,2019-08-22,4968.65,MMK
Universitas Pancasila,Karoya,Indonesia,Research Associate,Decentralized transitional analyzer,2017-05-14,2017-12-18,4403.06,IDR
University of Oulu,Muhos,Finland,Compensation Analyst,Quality-focused 5th generation frame,2018-12-25,2019-05-10,2780.35,EUR
Our Lady of Fatima University,Salimbao,Philippines,Marketing Assistant,Multi-layered 3rd generation portal,2016-10-28,2017-05-14,4118.82,PHP
Universidad ISALUD,San Miguel de Tucumán,Argentina,Nuclear Power Engineer,Operative contextually-based emulation,2017-01-28,2017-02-16,4212.52,ARS
University of Mauritius,Grand Bois,Mauritius,Technical Writer,Quality-focused discrete circuit,2016-10-16,2016-12-13,8935.21,MUR
Universidade Católica de Pelotas,Teodoro Sampaio,Brazil,Software Engineer I,Operative 6th generation solution,2016-11-02,2016-12-24,2927.88,BRL
Universitas Indonusa Esa Unggul,Manola,Indonesia,Senior Editor,Sharable optimizing concept,2018-12-08,2019-03-15,3677.83,IDR
National Defence Medical College,Ibusuki,Japan,Teacher,Profound 24 hour adapter,2016-04-04,2016-08-22,8891.94,JPY
China Academy of Art,Xinhuang,China,Database Administrator IV,Face to face uniform groupware,2019-10-11,2019-12-21,879.38,CNY
Universitas Pekalongan,Gunung,Indonesia,Internal Auditor,Distributed exuding conglomeration,2017-04-27,2017-10-06,588.85,IDR
Universidad de Bologna - Representación en Buenos Aires,Albardón,Argentina,Research Nurse,User-friendly bi-directional service-desk,2016-05-18,2016-10-20,5714.78,ARS
Ursinus College,Washington,United States,Civil Engineer,Organized user-facing local area network,2018-02-06,2018-04-13,7477.47,USD
Shanghai University of Finance and Economics,Weiqi,China,Database Administrator II,Polarised coherent paradigm,2016-10-23,2017-03-19,9286.86,CNY
University of Santo Tomas,Dolo,Philippines,Dental Hygienist,Multi-layered encompassing matrices,2018-05-28,2018-10-18,1682.5,PHP
Universitas Tadulako,Batas Barat,Indonesia,Editor,Realigned multi-tasking initiative,2019-05-10,2019-09-27,531.67,IDR
Adventist University of the Philippines,San Vicente,Philippines,Sales Associate,Visionary attitude-oriented task-force,2019-04-02,2019-06-09,2291.29,PHP
Beijing University of Posts and Telecommunications,Huanggu,China,Software Consultant,Profound local secured line,2019-02-27,2019-08-28,1811.14,CNY
Middle East University,Qīr Moāv,Jordan,Senior Cost Accountant,Down-sized dedicated hierarchy,2018-12-18,2019-04-01,2671.35,JOD
University of South Dakota,Springfield,United States,Clinical Specialist,Open-source actuating algorithm,2018-05-24,2018-06-28,6007.66,USD
Kabul Health Sciences Institute,Khanabad,Afghanistan,VP Product Management,Streamlined incremental internet solution,2017-10-11,2017-11-28,1470.02,AFN
University of Split,Novoselec,Croatia,Accountant IV,Diverse actuating strategy,2019-07-05,2019-10-09,3721.44,HRK
Universidad del Pacifico,La Molina,Peru,Community Outreach Specialist,Configurable 24 hour function,2018-10-22,2019-03-29,8509.26,PEN
"National University of Ireland, Maynooth",Granard,Ireland,Web Designer III,Proactive holistic function,2018-12-11,2019-06-19,1649.54,EUR
University of Hydraulic Electric Engineering,Guleluke,China,Speech Pathologist,Stand-alone cohesive customer loyalty,2017-03-01,2017-03-25,6692.82,CNY
Nanjing University of Economics,Choushui,China,Biostatistician III,Automated grid-enabled database,2017-09-13,2018-03-05,6381.41,CNY
Northern Caribbean University,Alexandria,Jamaica,Social Worker,Total next generation function,2016-07-13,2016-07-29,6337.06,JMD
Maryam Institute of Higher Education,Zīrakī,Afghanistan,Statistician II,Function-based object-oriented frame,2019-09-18,2019-11-28,6349.61,AFN
Universitas Jayabaya,Juranalas,Indonesia,Civil Engineer,Synchronised secondary project,2016-08-22,2016-11-01,6307.32,IDR
University of Da Lat,Lâm Thao,Vietnam,Computer Systems Analyst II,Balanced local array,2018-02-19,2018-05-31,7496.56,VND
Universitas Nasional Pasim,Sendung,Indonesia,Tax Accountant,Secured modular forecast,2017-11-20,2018-03-16,7176.22,IDR
Capital University of Economics and Business,Baolong,China,Nurse Practicioner,Seamless systematic time-frame,2017-01-10,2017-03-25,1482.81,CNY
Gordon Conwell Theological Seminary,Chicago,United States,Safety Technician I,Persistent mobile leverage,2016-02-28,2016-08-28,6251.9,USD
University of Perugia,Milano,Italy,Administrative Officer,Multi-layered needs-based productivity,2019-01-27,2019-05-05,9480.84,EUR
Huaihua Radio and Television University,Linjiang,China,VP Product Management,Devolved asymmetric Graphic Interface,2017-09-30,2018-04-23,8070.06,CNY
"Universidad Tecnológica del Choco ""Diego Luis Cordoba""",Providencia,Colombia,Assistant Media Planner,Inverse value-added framework,2018-10-03,2018-10-05,5055.57,COP
Huachiew Chalermprakiet University,Pa Phayom,Thailand,Automation Specialist III,Realigned next generation monitoring,2017-11-28,2018-03-23,744.89,THB
Far Eastern State University,Bryansk,Russia,Clinical Specialist,Stand-alone exuding success,2019-09-22,2020-01-21,5994.5,RUB
Anhui University of Traditional Chinese Medicine,Hanshou,China,Senior Developer,Networked modular intranet,2019-02-15,2019-07-01,5416.88,CNY
South East European University,Gevgelija,Macedonia,Human Resources Manager,Grass-roots stable approach,2017-03-19,2017-03-28,6062.27,MKD
Escola Superior de Hotelaria e Turismo do Estoril,Refojos,Portugal,General Manager,Multi-channelled asymmetric paradigm,2018-02-25,2018-09-02,2251.46,EUR
China Foreign Affairs University,Changning,China,Cost Accountant,Adaptive motivating Graphic Interface,2017-07-02,2017-07-06,5816.32,CNY
Morehead State University,Sacramento,United States,Senior Sales Associate,De-engineered intangible methodology,2018-12-08,2019-02-24,9357.95,USD
University of Luxemburg,Fentange,Luxembourg,Tax Accountant,Monitored encompassing structure,2017-08-30,2017-09-30,5634.35,EUR
South Dakota State University,Amarillo,United States,Financial Analyst,Advanced regional ability,2017-03-31,2017-08-07,8075.88,USD
Southeast University,Dongguang,China,Accountant IV,Virtual modular process improvement,2018-01-19,2018-05-30,9706.55,CNY
Harbin University of Civil Engineering & Architecture,Nianqiao,China,Help Desk Technician,Proactive explicit installation,2017-04-20,2017-04-30,1271.15,CNY
University of Cebu,Magsalangi,Philippines,Editor,Public-key dedicated access,2018-04-24,2018-09-01,5977.19,PHP
Halmstad University College,Järfälla,Sweden,Senior Editor,Persevering solution-oriented challenge,2017-03-04,2017-03-12,9425.57,SEK
Universidad Católica de Honduras,Tras Cerros,Honduras,Senior Developer,Cross-platform user-facing process improvement,2016-03-19,2016-07-21,669.85,HNL
Shanghai Second Medical University,Hengjiang,China,Accounting Assistant III,Exclusive reciprocal structure,2018-08-23,2018-10-22,8908.06,CNY
Al-Eman University,Qaryat ad Da‘īs,Yemen,Payment Adjustment Coordinator,Networked empowering throughput,2018-11-10,2019-04-18,2292.36,YER
Kagoshima Immaculate Heart University,Hakui,Japan,Account Representative II,Multi-lateral clear-thinking hierarchy,2019-08-17,2019-12-06,8236.23,JPY
Universitas Khairun,Kebonkalapa,Indonesia,Director of Sales,Integrated high-level collaboration,2018-07-27,2018-10-11,5190.84,IDR
Technical University of Lodz,Koronowo,Poland,Safety Technician I,Exclusive background help-desk,2019-02-25,2019-09-16,5729.81,PLN
Palestine Technical University - Kadoorie,Bīr Zayt,Palestinian Territory,Geological Engineer,Compatible demand-driven encoding,2017-02-18,2017-05-08,5228.88,ILS
Ecole Nationale de l'Aviation Civile,Besançon,France,Administrative Officer,Self-enabling modular interface,2019-12-02,2020-03-01,9959.7,EUR
University of Pula,Bistrinci,Croatia,Dental Hygienist,Horizontal needs-based workforce,2016-03-11,2016-10-09,7161.19,HRK
Instituto Piaget,Arruda dos Vinhos,Portugal,Analyst Programmer,Open-architected static infrastructure,2019-11-22,2020-03-07,2633.88,EUR
Ecole Nationale d'Ingénieurs des Travaux Agricoles de Clermont-Ferrand,Metz,France,Human Resources Manager,Digitized empowering ability,2019-08-02,2019-12-30,7862.38,EUR
Gotland University College,Klippan,Sweden,Associate Professor,Multi-layered methodical capability,2018-12-04,2019-07-03,2530.87,SEK
State University of Tetova,Студеничани,Macedonia,Budget/Accounting Analyst III,Integrated zero defect success,2018-09-15,2018-11-28,6906.63,MKD
Instituto Superior de Psicologia Aplicada,Penedo,Portugal,Design Engineer,Fundamental non-volatile access,2018-10-03,2019-01-16,2042.77,EUR
University of Nis,Ljubovija,Serbia,Payment Adjustment Coordinator,Triple-buffered directional complexity,2018-06-29,2018-08-16,1961.35,RSD
Okayama Shoka University,Kushiro,Japan,Physical Therapy Assistant,Organic impactful data-warehouse,2018-09-02,2018-12-15,8745.05,JPY
King's College,Seattle,United States,Junior Executive,Switchable even-keeled application,2019-09-12,2020-03-15,1401.35,USD
"University of the West Indies, Cave Hill",Four Cross Roads,Barbados,Account Representative III,Future-proofed client-driven attitude,2019-06-29,2020-01-16,2055.48,BBD
Rizal Technological University,Balogo,Philippines,Librarian,Re-contextualized bi-directional model,2018-03-14,2018-08-26,1668.03,PHP
Universidade Eduardo Mondlane,Manhiça,Mozambique,Chief Design Engineer,Pre-emptive multimedia toolset,2018-08-19,2019-02-26,1663.24,MZN
Ivanovo State University of Chemistry and Technology,Naro-Fominsk,Russia,Senior Developer,Automated clear-thinking array,2016-11-03,2017-05-16,1468.14,RUB
Universidade Católica de Pelotas,Parintins,Brazil,Environmental Specialist,Total uniform infrastructure,2019-10-24,2020-01-21,3755.08,BRL
